presentationDate,presentationSessionsN,presentationLanguage,presentationKind,playName,playGenre,playNationality,companyName,companyNationality,presentationTheater
"1933-01-02 00:00:00",2,"Napolitano (dialeto)",SESSIONS,"Piscatore Ã¨ curalle","CanÃ§Ã£o encenada",Italiana,"Canzone di Napoli",Ãtalo-sul-americana,Santana
"1933-01-02 00:00:00",2,Português,SESSIONS,"Nu e cru",Revista,NULL,Montparnasse,"Brasileira ",Recreio
"1933-01-02 00:00:00",2,Português,SESSIONS,"Deus lhe pague","Teatro declamado","Brasileira ","ProcÃ³pio Ferreira","Brasileira ","Boa Vista"
"1933-01-02 00:00:00",1,Português,COMPLETE,"A ver navios",Revista,"Brasileira ","Permanente do Colombo","Brasileira ",Colombo
"1934-01-01 00:00:00",2,Português,SESSIONS,"CanÃ§Ã£o brasileira",Opereta,"Brasileira ","Brasileira de Teatro Musicado","Brasileira ","Cassino Antártica"
"1934-01-01 00:00:00",2,Português,SESSIONS,"Meu bebê, O","Teatro declamado",Estadunidense,"ProcÃ³pio Ferreira","Brasileira ","Boa Vista"
"1934-01-01 00:00:00",2,Português,SESSIONS,"Sistema do Bechara","Teatro declamado","Brasileira ","Espetáculos Ba-ta-clan","Brasileira ",Recreio
"1934-01-01 00:00:00",1,Italiano,COMPLETE,"Elisir d'amore",Ãpera,Italiana,"Arturo De Angelis (Companhia LÃ­rica Italiana)",Ãtalo-sul-americana,Santana
"1934-01-02 00:00:00",2,Português,SESSIONS,"Sistema do Bechara","Teatro declamado","Brasileira ","Espetáculos Ba-ta-clan","Brasileira ",Recreio
"1934-01-02 00:00:00",2,Português,SESSIONS,"Meu bebê, O","Teatro declamado",Estadunidense,"ProcÃ³pio Ferreira","Brasileira ","Boa Vista"
"1934-01-02 00:00:00",2,Português,SESSIONS,"CanÃ§Ã£o brasileira",Opereta,"Brasileira ","Brasileira de Teatro Musicado","Brasileira ","Cassino Antártica"
"1934-01-03 00:00:00",2,Português,SESSIONS,"CanÃ§Ã£o brasileira",Opereta,"Brasileira ","Brasileira de Teatro Musicado","Brasileira ","Cassino Antártica"
"1934-01-03 00:00:00",2,Português,SESSIONS,"Sistema do Bechara","Teatro declamado","Brasileira ","Espetáculos Ba-ta-clan","Brasileira ",Recreio
"1934-01-03 00:00:00",1,IÃ­diche,COMPLETE,"(sem anÃºncio do tÃ­tulo)","Teatro declamado",NULL,"Israelita de operetas",Israelita,Santana
"1934-02-16 00:00:00",1,IÃ­diche,COMPLETE,Vênus,Opereta,Austríca,"Israelita de operetas",Israelita,Santana
"1928-02-14 00:00:00",2,Português,STAGE_SCREEN,"MiscelÃ¢nea (revuette)",Revuette,NULL,"Raul Roulien","Brasileira ",Santana
